Experiment Number,file,stream,compressionType,limit,totalTransferTime,dataTransferTime,compressionTime,totalReadingFileTime,sizeOnLocalMachine,sizeOnTargetMachine
6,DS_003.csv,1,gzip,104857600,98.9767656326294,73.44427013397217,16.659359216690063,0.0850067138671875,488086980,179510694
7,DS_003.csv,1,gzip,104857600,96.0411388874054,71.71176838874817,16.74303960800171,0.13398456573486328,488086980,179510694
8,DS_003.csv,1,gzip,104857600,95.51359105110168,71.0833146572113,16.643274784088135,0.1497042179107666,488086980,179510694
9,DS_003.csv,1,gzip,104857600,97.71735191345215,72.53809475898743,16.53524398803711,0.08366131782531738,488086980,179510694
10,DS_003.csv,1,gzip,104857600,97.30855989456177,72.84324479103088,16.55472469329834,0.09598946571350098,488086980,179510694
11,DS_003.csv,1,gzip,104857600,96.16269874572754,71.52399325370789,16.642882108688354,0.11127352714538574,488086980,179510694
12,DS_003.csv,1,gzip,104857600,96.1010890007019,71.53560161590576,16.719691514968872,0.08250021934509277,488086980,179510694
13,DS_003.csv,1,gzip,104857600,97.948086977005,73.18212008476257,16.6903178691864,0.1460282802581787,488086980,179510694
14,DS_003.csv,1,gzip,104857600,97.30143928527832,72.66027903556824,16.64563798904419,0.14928388595581055,488086980,179510694
15,DS_003.csv,1,gzip,104857600,98.75276470184326,73.46803569793701,17.23680591583252,0.08405399322509766,488086980,179510694
16,DS_003.csv,1,gzip,104857600,95.2375545501709,70.36831140518188,16.99465847015381,0.13957643508911133,488086980,179510694
17,DS_003.csv,1,gzip,104857600,100.19823384284973,74.64251041412354,16.859481811523438,0.1430215835571289,488086980,179510694
18,DS_003.csv,1,gzip,104857600,97.0346827507019,72.17431211471558,16.439125299453735,0.15306973457336426,488086980,179510694
19,DS_003.csv,1,gzip,104857600,102.35217308998108,77.0337610244751,16.96282148361206,0.08575749397277832,488086980,179510694
20,DS_003.csv,1,gzip,104857600,101.00027704238892,76.62202739715576,16.829774141311646,0.0957784652709961,488086980,179510694
21,DS_003.csv,1,gzip,104857600,94.85823559761047,69.75703263282776,16.94195556640625,0.10180163383483887,488086980,179510694
22,DS_003.csv,1,gzip,104857600,94.2796037197113,70.61813950538635,16.696466207504272,0.08731579780578613,488086980,179510694
23,DS_003.csv,1,gzip,104857600,97.77786779403687,72.50266814231873,16.69636034965515,0.15740633010864258,488086980,179510694
24,DS_003.csv,1,gzip,104857600,93.81926417350769,68.82114386558533,17.018560647964478,0.10383105278015137,488086980,179510694
25,DS_003.csv,1,gzip,104857600,96.71635103225708,71.59541511535645,17.283660411834717,0.14425420761108398,488086980,179510694
26,DS_003.csv,1,gzip,104857600,95.39756059646606,69.39861941337585,17.350597143173218,0.14362812042236328,488086980,179510694
27,DS_003.csv,1,gzip,104857600,94.02857756614685,69.16223406791687,16.512932777404785,0.08368086814880371,488086980,179510694
28,DS_003.csv,1,gzip,104857600,95.76629447937012,70.97552299499512,16.767123222351074,0.08346247673034668,488086980,179510694
29,DS_003.csv,1,gzip,104857600,96.3065574169159,70.84136986732483,16.775094270706177,0.07672905921936035,488086980,179510694
30,DS_003.csv,1,gzip,104857600,100.19791030883789,74.4342303276062,16.703455924987793,0.09137797355651855,488086980,179510694
average,DS_003.csv,1,gzip,104857600,97.12823805809018,72.21253813902538,16.770153371493024,0.11326262950897219,488086980,179510694
1,DS_003.csv,1,lz4,104857600,115.18638944625854,105.70932745933533,0.991135835647583,0.08955264091491699,488086980,272526752
2,DS_003.csv,1,lz4,104857600,114.14751529693604,104.5330080986023,0.9847316741943359,0.08979225158691406,488086980,272526752
3,DS_003.csv,1,lz4,104857600,115.06561231613159,105.88159584999084,1.0031626224517822,0.14295578002929688,488086980,272526752
4,DS_003.csv,1,lz4,104857600,145.85600447654724,136.49668073654175,0.995049238204956,0.08305597305297852,488086980,272526752
5,DS_003.csv,1,lz4,104857600,111.84570908546448,102.68612265586853,0.9866752624511719,0.10730743408203125,488086980,272526752
6,DS_003.csv,1,lz4,104857600,114.1289496421814,105.13767075538635,0.994964599609375,0.10327363014221191,488086980,272526752
7,DS_003.csv,1,lz4,104857600,113.22005867958069,104.11071801185608,0.9887962341308594,0.08572816848754883,488086980,272526752
8,DS_003.csv,1,lz4,104857600,113.40389370918274,103.71832370758057,0.9738430976867676,0.09037995338439941,488086980,272526752
9,DS_003.csv,1,lz4,104857600,113.63508939743042,104.32185912132263,1.0094971656799316,0.13467812538146973,488086980,272526752
10,DS_003.csv,1,lz4,104857600,127.51172494888306,116.10690760612488,0.9896247386932373,0.08863043785095215,488086980,272526752
11,DS_003.csv,1,lz4,104857600,131.40567421913147,121.69977164268494,0.9895844459533691,0.11615967750549316,488086980,272526752
12,DS_003.csv,1,lz4,104857600,118.18799686431885,109.69186520576477,0.992558479309082,0.13963103294372559,488086980,272526752
13,DS_003.csv,1,lz4,104857600,146.64366960525513,131.94680380821228,0.9999876022338867,0.1396162509918213,488086980,272526752
14,DS_003.csv,1,lz4,104857600,145.8209867477417,137.19920301437378,0.9915933609008789,0.08468842506408691,488086980,272526752
15,DS_003.csv,1,lz4,104857600,129.01436138153076,118.6249725818634,0.9923055171966553,0.08393311500549316,488086980,272526752
16,DS_003.csv,1,lz4,104857600,114.69594144821167,105.86331605911255,0.9802203178405762,0.08344697952270508,488086980,272526752
17,DS_003.csv,1,lz4,104857600,116.74168682098389,106.97280287742615,0.9746737480163574,0.14072394371032715,488086980,272526752
18,DS_003.csv,1,lz4,104857600,127.02898287773132,117.71831607818604,0.9806878566741943,0.09666705131530762,488086980,272526752
19,DS_003.csv,1,lz4,104857600,134.06511187553406,125.39341306686401,0.9902474880218506,0.14030003547668457,488086980,272526752
20,DS_003.csv,1,lz4,104857600,122.70816683769226,111.59062385559082,0.9913861751556396,0.12086868286132812,488086980,272526752
21,DS_003.csv,1,lz4,104857600,120.43129444122314,111.56853914260864,0.990922212600708,0.130598783493042,488086980,272526752
22,DS_003.csv,1,lz4,104857600,113.89976000785828,104.73376297950745,0.9764747619628906,0.08469915390014648,488086980,272526752
23,DS_003.csv,1,lz4,104857600,133.52001023292542,123.64829730987549,0.99505615234375,0.08971714973449707,488086980,272526752
24,DS_003.csv,1,lz4,104857600,113.14739942550659,105.18788361549377,1.0371284484863281,0.13564705848693848,488086980,272526752
25,DS_003.csv,1,lz4,104857600,113.8239393234253,104.56974864006042,0.9960792064666748,0.15774321556091309,488086980,272526752
26,DS_003.csv,1,lz4,104857600,124.38636255264282,115.87955570220947,0.9915862083435059,0.08746767044067383,488086980,272526752
27,DS_003.csv,1,lz4,104857600,120.67358875274658,111.71382999420166,0.9984025955200195,0.09318304061889648,488086980,272526752
28,DS_003.csv,1,lz4,104857600,123.99467468261719,114.28313612937927,0.9825375080108643,0.08793258666992188,488086980,272526752
29,DS_003.csv,1,lz4,104857600,113.93925857543945,104.73080611228943,0.9935660362243652,0.08889913558959961,488086980,272526752
30,DS_003.csv,1,lz4,104857600,133.08949875831604,123.23161673545837,0.9792139530181885,0.08700108528137207,488086980,272526752
average,DS_003.csv,1,lz4,104857600,122.70731041431428,113.16501595179238,0.9913897514343263,0.10680928230285641,488086980,272526752
