Experiment Number,file,stream,compressionType,limit,totalTransferTime,TotalClearTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
1,2023:09:22:11:07:49backup.sql,3,None,104857600,7.998013734817505,0,0,0,0,0.023769855499267578,0.010620355606079102,0.007923285166422525,0.0470278263092041,0.021329641342163086,0.015675942103068035,0,0,0.0,15.73045825958252,7.602727890014648,5.243486086527507,4104815,4104815
average,2023:09:22:11:07:49backup.sql,3,None,104857600,7.998013734817505,0,0,0,0,0.023769855499267578,0.010620355606079102,0.007923285166422525,0.0470278263092041,0.021329641342163086,0.015675942103068035,0.0,0.0,0.0,15.73045825958252,7.602727890014648,5.243486086527507,4104815,4104815
total Experiment Time(hours),0.00222281555334727
