Experiment Number,compress,maxStreams,sourceDatabasetoTargetDatabase,tables,Experiment startTime,logTime,logType,logLocation,logDescription
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.187,INFO,<1074:ThreadPoolExecutor-0_4> prechecks.py:787,Running precheck: PRE: check target port ssl cert
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.188,INFO,<1074:ThreadPoolExecutor-0_5> prechecks.py:787,Running precheck: PRE: check source database connection
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.188,INFO,<1074:ThreadPoolExecutor-0_4> prechecks.py:742,Precheck 'check target port ssl cert' in stage PRE:  SKIPPED as N/A: No ssl specified in target connection specification
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.189,DEBUG,<1074:ThreadPoolExecutor-0_4> prechecks.py:827,Precheck check target port ssl cert took 0:00:00.001687
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.191,INFO,<1074:ThreadPoolExecutor-0_0> prechecks.py:787,Running precheck: PRE: check target database connection
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.665,INFO,<1074:ThreadPoolExecutor-0_5> prechecks.py:742,Precheck 'check source database connection' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.666,DEBUG,<1074:ThreadPoolExecutor-0_5> prechecks.py:827,Precheck check source database connection took 0:00:00.477991
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.666,INFO,<1074:ThreadPoolExecutor-0_7> prechecks.py:787,Running precheck: PRE: check source tables
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.667,INFO,<1074:ThreadPoolExecutor-0_8> prechecks.py:787,Running precheck: PRE: check source DBMS version
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.670,INFO,<1074:ThreadPoolExecutor-0_9> prechecks.py:787,Running precheck: PRE: check external tables on source
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.672,INFO,<1074:ThreadPoolExecutor-0_10> prechecks.py:787,Running precheck: PRE: check source driver version
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.674,INFO,<1074:ThreadPoolExecutor-0_11> prechecks.py:787,Running precheck: PRE: check source tenant
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.679,INFO,<1074:ThreadPoolExecutor-0_12> prechecks.py:787,Running precheck: PRE: check DDL extractor
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.679,INFO,<1074:ThreadPoolExecutor-0_11> prechecks.py:742,Precheck 'check source tenant' in stage PRE:  SKIPPED as N/A: No precheck needed for default source TENANT
