Experiment Number,file,stream,compressionType,limit,totalTransferTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
1,DS_003.csv,5,None,104857600,182.85024237632751,0,0,0,0.45928955078125,0.11112761497497559,0.09185791015625,837.0192813873291,177.05988359451294,167.40385627746582,0,0,0.0,9.90421438217163,3.362452268600464,1.9808428764343262,488086980,488086980
2,DS_003.csv,5,None,104857600,221.43364691734314,0,0,0,0.539323091506958,0.13787364959716797,0.1078646183013916,970.0761511325836,212.5867350101471,194.01523022651674,0,0,0.0,27.348495960235596,9.660139083862305,5.469699192047119,488086980,488086980
3,DS_003.csv,5,None,104857600,181.88626098632812,0,0,0,0.5511898994445801,0.1293041706085205,0.11023797988891601,795.6258497238159,168.61636757850647,159.12516994476317,0,0,0.0,27.74833393096924,9.825051069259644,5.549666786193848,488086980,488086980
average,DS_003.csv,5,None,104857600,195.39005009333292,0,0,0,0.5166008472442627,0.12610181172688803,0.10332016944885253,867.5737607479095,186.0876620610555,173.5147521495819,0.0,0.0,0.0,21.667014757792153,7.615880807240805,4.333402951558432,488086980,488086980
1,DS_003.csv,5,gzip,104857600,77.52694988250732,0,0,0,0.44892215728759766,0.11874222755432129,0.08978443145751953,257.8417284488678,65.76157760620117,51.56834568977356,18.952929735183716,3.940589666366577,3.7905859470367433,26.19182062149048,9.381916761398315,5.238364124298096,488086980,179510801
2,DS_003.csv,5,gzip,104857600,71.65073990821838,0,0,0,0.430713415145874,0.09011244773864746,0.0861426830291748,241.7760066986084,60.295153856277466,48.35520133972168,19.041627883911133,3.862541675567627,3.8083255767822264,18.495279550552368,7.503267526626587,3.6990559101104736,488086980,179510801
3,DS_003.csv,5,gzip,104857600,73.70699119567871,0,0,0,0.40190720558166504,0.08197379112243652,0.08038144111633301,230.93225836753845,58.58092927932739,46.18645167350769,19.084957122802734,4.032268285751343,3.816991424560547,26.548133850097656,9.479243040084839,5.309626770019531,488086980,179510801
average,DS_003.csv,5,gzip,104857600,74.29489366213481,0,0,0,0.42718092600504554,0.09694282213846843,0.08543618520100912,243.51666450500488,61.545886913935334,48.70333290100097,19.02650491396586,3.9451332092285156,3.805300982793172,23.74507800738017,8.788142442703247,4.749015601476033,488086980,179510801
1,DS_003.csv,5,lz4,104857600,103.45668983459473,0,0,0,0.4927239418029785,0.11952400207519531,0.0985447883605957,379.6476893424988,93.67770028114319,75.92953786849975,1.0568733215332031,0.21451091766357422,0.21137466430664062,26.794332027435303,9.377150058746338,5.358866405487061,488086980,272526869
2,DS_003.csv,5,lz4,104857600,105.06338334083557,0,0,0,0.590576171875,0.13552427291870117,0.118115234375,405.2212722301483,94.30948042869568,81.04425444602967,1.0675153732299805,0.21982073783874512,0.2135030746459961,20.130002975463867,7.577314376831055,4.026000595092773,488086980,272526869
3,DS_003.csv,5,lz4,104857600,103.43710160255432,0,0,0,0.528714656829834,0.12278962135314941,0.1057429313659668,383.93542647361755,90.3614284992218,76.78708529472351,1.0881423950195312,0.22450804710388184,0.21762847900390625,27.52575707435608,9.685482501983643,5.505151414871216,488086980,272526869
average,DS_003.csv,5,lz4,104857600,103.98572492599487,0,0,0,0.5373382568359375,0.1259459654490153,0.1074676513671875,389.60146268208825,92.78286973635356,77.92029253641763,1.0708436965942383,0.21961323420206708,0.21416873931884767,24.816697359085083,8.879982312520346,4.963339471817017,488086980,272526869
total Experiment Time(hours),0.3113986723952823
