Experiment Number,file,stream,compressionType,limit,totalTransferTime,TotalClearTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
1,DS_003.csv,2,None,104857600,190.23283195495605,0,0,0,0,0.22332429885864258,0.11799025535583496,0.11166214942932129,326.81249928474426,181.8761010169983,163.40624964237213,0,0,0.0,4.647381067276001,3.3664004802703857,2.3236905336380005,488086980,488086980
2,DS_003.csv,2,None,104857600,186.3393976688385,0,0,0,0,0.2580840587615967,0.13550186157226562,0.12904202938079834,344.36259961128235,179.43682956695557,172.18129980564117,0,0,0.0,4.590108394622803,3.2999989986419678,2.2950541973114014,488086980,488086980
3,DS_003.csv,2,None,104857600,194.9447627067566,0,0,0,0,0.22078204154968262,0.1279454231262207,0.11039102077484131,372.6412048339844,186.99901247024536,186.3206024169922,0,0,0.0,3.5559866428375244,2.222684860229492,1.7779933214187622,488086980,488086980
4,DS_003.csv,2,None,104857600,202.46089267730713,0,0,0,0,0.266751766204834,0.14248061180114746,0.133375883102417,361.4691572189331,192.92239022254944,180.73457860946655,0,0,0.0,4.659841775894165,3.271063804626465,2.3299208879470825,488086980,488086980
5,DS_003.csv,2,None,104857600,206.52976965904236,0,0,0,0,0.2069852352142334,0.11435222625732422,0.1034926176071167,344.43496203422546,198.43156337738037,172.21748101711273,0,0,0.0,4.734463214874268,3.3347654342651367,2.367231607437134,488086980,488086980
average,DS_003.csv,2,None,104857600,196.1015309333801,0,0,0,0,0.23518548011779783,0.1276540756225586,0.11759274005889891,349.9440845966339,187.9331793308258,174.97204229831695,0.0,0.0,0.0,4.437556219100952,3.0989827156066894,2.218778109550476,488086980,488086980
1,DS_003.csv,2,gzip,104857600,87.4804539680481,0,0,0,0,0.20203638076782227,0.11726546287536621,0.10101819038391113,134.49830269813538,71.16432762145996,67.24915134906769,18.7653968334198,9.4456627368927,9.3826984167099,3.892317056655884,2.2856624126434326,1.946158528327942,488086980,179511638
2,DS_003.csv,2,gzip,104857600,83.55922365188599,0,0,0,0,0.18248367309570312,0.0944056510925293,0.09124183654785156,118.25687789916992,66.23182702064514,59.12843894958496,19.091652631759644,9.672192573547363,9.545826315879822,4.566046714782715,3.215667247772217,2.2830233573913574,488086980,179511638
3,DS_003.csv,2,gzip,104857600,106.60794711112976,0,0,0,0,0.19730305671691895,0.10813140869140625,0.09865152835845947,134.98324584960938,88.56100678443909,67.49162292480469,18.81670045852661,9.461269617080688,9.408350229263306,4.684267997741699,3.285299062728882,2.3421339988708496,488086980,179511638
4,DS_003.csv,2,gzip,104857600,86.55566000938416,0,0,0,0,0.17319178581237793,0.08732819557189941,0.08659589290618896,129.72829580307007,69.07083129882812,64.86414790153503,18.533867359161377,9.396828651428223,9.266933679580688,4.589824676513672,3.253509521484375,2.294912338256836,488086980,179511638
5,DS_003.csv,2,gzip,104857600,78.51665329933167,0,0,0,0,0.18650579452514648,0.09796428680419922,0.09325289726257324,116.78087115287781,60.69423961639404,58.390435576438904,19.387057065963745,9.724627256393433,9.693528532981873,4.485803127288818,3.202385902404785,2.242901563644409,488086980,179511638
average,DS_003.csv,2,gzip,104857600,88.54398760795594,0,0,0,0,0.18830413818359373,0.10101900100708008,0.09415206909179687,126.84951868057252,71.14444646835327,63.42475934028626,18.918934869766236,9.540116167068481,9.459467434883118,4.443651914596558,3.0485048294067383,2.221825957298279,488086980,179511638
1,DS_003.csv,2,lz4,104857600,122.56479215621948,0,0,0,0,0.20483136177062988,0.11045432090759277,0.10241568088531494,208.89970803260803,114.9101767539978,104.44985401630402,1.0566961765289307,0.530231237411499,0.5283480882644653,3.527008533477783,2.2026190757751465,1.7635042667388916,488086980,272526329
2,DS_003.csv,2,lz4,104857600,122.54058814048767,0,0,0,0,0.23886775970458984,0.1357109546661377,0.11943387985229492,223.53976202011108,112.63180422782898,111.76988101005554,1.0470376014709473,0.5265688896179199,0.5235188007354736,4.987008094787598,3.325660467147827,2.493504047393799,488086980,272526329
3,DS_003.csv,2,lz4,104857600,116.98802828788757,0,0,0,0,0.23214030265808105,0.1275310516357422,0.11607015132904053,196.46171760559082,107.85992693901062,98.23085880279541,1.0691962242126465,0.537372350692749,0.5345981121063232,4.542715072631836,3.2091758251190186,2.271357536315918,488086980,272526329
4,DS_003.csv,2,lz4,104857600,117.60218358039856,0,0,0,0,0.2057955265045166,0.10580921173095703,0.1028977632522583,186.98680639266968,108.04242491722107,93.49340319633484,1.040668249130249,0.5208699703216553,0.5203341245651245,4.776862382888794,3.374138593673706,2.388431191444397,488086980,272526329
5,DS_003.csv,2,lz4,104857600,113.98497438430786,0,0,0,0,0.2566947937011719,0.14178085327148438,0.12834739685058594,209.68263697624207,105.81066465377808,104.84131848812103,1.0677525997161865,0.5475702285766602,0.5338762998580933,3.679182529449463,2.252627372741699,1.8395912647247314,488086980,272526329
