Experiment Number,file,stream,compressionType,limit,totalTransferTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
2,DS_003.csv,3,None,104857600,243.81865882873535,0,0,0,0.3085825443267822,0.11384820938110352,0.10286084810892741,572.2129578590393,238.4500093460083,190.73765261967978,0,0,0.0,7.169679641723633,3.3880043029785156,2.3898932139078775,488086980,488086980
3,DS_003.csv,3,None,104857600,184.3334503173828,0,0,0,0.3206779956817627,0.11893391609191895,0.10689266522725423,477.59023904800415,173.709481716156,159.19674634933472,0,0,0.0,10.637844562530518,5.712494373321533,3.5459481875101724,488086980,488086980
average,DS_003.csv,3,None,104857600,202.7430944442749,0,0,0,0.3152609666188558,0.11483867963155112,0.10508698887295193,519.7939819494884,195.50402482350668,173.26466064982944,0.0,0.0,0.0,8.32287033398946,4.1684815883636475,2.7742901113298206,488086980,488086980
1,DS_003.csv,3,gzip,104857600,74.71022701263428,0,0,0,0.3198676109313965,0.13853955268859863,0.10662253697713216,148.38724613189697,58.52180624008179,49.46241537729899,18.7385835647583,6.379012107849121,6.246194521586101,9.683955430984497,5.133861780166626,3.227985143661499,488086980,179511741
2,DS_003.csv,3,gzip,104857600,77.08005905151367,0,0,0,0.2582378387451172,0.09059309959411621,0.08607927958170573,162.8335132598877,63.8647997379303,54.2778377532959,18.671886920928955,6.291633605957031,6.223962306976318,5.758853435516357,3.2129199504852295,1.9196178118387859,488086980,179511741
3,DS_003.csv,3,gzip,104857600,73.95807218551636,0,0,0,0.26839733123779297,0.09069132804870605,0.08946577707926433,162.61426186561584,58.71061897277832,54.204753955205284,18.983581066131592,6.442632675170898,6.327860355377197,9.470834970474243,5.070533514022827,3.156944990158081,488086980,179511741
average,DS_003.csv,3,gzip,104857600,75.24945274988809,0,0,0,0.28216759363810223,0.10660799344380698,0.09405586454603407,157.94500708580017,60.36574165026347,52.648335695266724,18.798017183939617,6.371092796325684,6.266005727979872,8.304547945658367,4.4724384148915615,2.7681826485527887,488086980,179511741
1,DS_003.csv,3,lz4,104857600,136.46871757507324,0,0,0,0.33211803436279297,0.12557125091552734,0.11070601145426433,369.51590514183044,126.26507949829102,123.17196838061015,1.063716173171997,0.36530518531799316,0.354572057723999,8.002307891845703,4.517791271209717,2.667435963948568,488086980,272526888
2,DS_003.csv,3,lz4,104857600,103.59713959693909,0,0,0,0.376450777053833,0.14559578895568848,0.12548359235127768,262.43081760406494,97.91691327095032,87.47693920135498,1.055790901184082,0.3571760654449463,0.35193030039469403,6.502475023269653,3.1281793117523193,2.1674916744232178,488086980,272526888
3,DS_003.csv,3,lz4,104857600,102.9307587146759,0,0,0,0.33986568450927734,0.13089561462402344,0.11328856150309245,239.1348855495453,93.12635827064514,79.71162851651509,1.0805602073669434,0.3661026954650879,0.36018673578898114,10.066688776016235,5.377804279327393,3.355562925338745,488086980,272526888
average,DS_003.csv,3,lz4,104857600,114.33220529556274,0,0,0,0.34947816530863446,0.13402088483174643,0.11649272176954481,290.3605360984802,105.76945034662883,96.78684536616008,1.0666890939076743,0.36286131540934247,0.35556303130255806,8.190490563710531,4.34125828742981,2.7301635212368436,488086980,272526888
total Experiment Time(hours),1.0516158175468444
