Experiment Number,file,stream,compressionType,limit,totalTransferTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
1,DS_003.csv,3,None,104857600,183.86751985549927,0,0,0,0.5221607685089111,0.2749357223510742,0.17405358950297037,490.3734815120697,175.48353052139282,163.4578271706899,0,0,0.0,6.739445447921753,3.379883050918579,2.2464818159739175,488086980,488086980
average,DS_003.csv,3,None,104857600,183.86751985549927,0,0,0,0.5221607685089111,0.2749357223510742,0.17405358950297037,490.3734815120697,175.48353052139282,163.4578271706899,0.0,0.0,0.0,6.739445447921753,3.379883050918579,2.2464818159739175,488086980,488086980
1,DS_003.csv,3,gzip,104857600,84.57710075378418,0,0,0,0.3213205337524414,0.14188766479492188,0.10710684458414714,171.82760787010193,69.55859541893005,57.275869290033974,19.26461100578308,6.786550998687744,6.421537001927693,9.697628021240234,5.113269567489624,3.2325426737467446,488086980,179511741
average,DS_003.csv,3,gzip,104857600,84.57710075378418,0,0,0,0.3213205337524414,0.14188766479492188,0.10710684458414714,171.82760787010193,69.55859541893005,57.275869290033974,19.26461100578308,6.786550998687744,6.421537001927693,9.697628021240234,5.113269567489624,3.2325426737467446,488086980,179511741
1,DS_003.csv,3,lz4,104857600,106.17219877243042,0,0,0,0.2612278461456299,0.10053372383117676,0.08707594871520996,281.4606924057007,99.75304555892944,93.82023080190022,1.083639144897461,0.3668050765991211,0.3612130482991536,4.2705018520355225,1.44071364402771,1.423500617345174,488086980,272526888
average,DS_003.csv,3,lz4,104857600,106.17219877243042,0,0,0,0.2612278461456299,0.10053372383117676,0.08707594871520996,281.4606924057007,99.75304555892944,93.82023080190022,1.083639144897461,0.3668050765991211,0.3612130482991536,4.2705018520355225,1.44071364402771,1.423500617345174,488086980,272526888
total Experiment Time(hours),0.10406448258294
