Experiment Number,file,limit,compressionType,stream,Experiment startTime,TotalBackupTime,TotaltransferTime,TotalMigrationTime,TotalValidationTime,TotalClearTime,sizeOnTargetMachine,sizeOnLocalMachine,compressionTime,dataTransferTime,readingFileTime,sumsizeOnTargetMachine,maxsizeOnTargetMachine,avgsizeOnTargetMachine,sumsizeOnLocalMachine,maxsizeOnLocalMachine,avgsizeOnLocalMachine,sumcompressionTime,maxcompressionTime,avgcompressionTime,sumdataTransferTime,maxdataTransferTime,avgdataTransferTime,sumreadingFileTime,maxreadingFileTime,avgreadingFileTime
27,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,1213.0088803768158,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,1388.3103692531586,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,1233.4538588523865,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NO,3,testdb=>testdb,ORDERS1,1710850927.916329,0,1377.2650349140167,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1447.1761820316315,0,0,4.76837158203125e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1522.600227355957,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1012.6995010375977,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1241.8126935958862,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1419.0424196720123,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,781.3988099098206,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1010.5752341747284,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1365.3553626537323,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1180.5262212753296,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1430.2306237220764,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
